"artists","Count"
"SEKAI NO OWARI",238
"Alex Velea, George Talent",237
"Kenshi Yonezu",237
"Tatsuya Kitani",237
"Ahmed Jahanzeb",236
"Assala Nasri",236
"Projector Band",236
"DEMI, slimedemidemislime, Madman Stan",235
"Jere Klein",235
"Molly Sandén",235
"Ronboogz",235
"Lana Del Rey",234
"PURPEECH",234
"Shallipopi, ODUMODUBLVCK",234
"BUS",233
"Pritam, Mohit Chauhan",233
"Shy Smith",233
"Asik",232
"New West",232
"Cheema Y, Gur Sidhu",231
"ŠKWOR",231
"高爾宣 OSN",231
"BARBEL, Kevin Ice",230
"Bloody Hawk, Dani Gambino, Wang",230
"Ivandro, Julinho Ksd",230
"Vixen",230
"Basta",229
"Dada",229
"Nicki Minaj",229
"Canbay & Wolker, Heijan, Muti",228
"Emre Fel",227
"Hov1",227
"Kristina Dawn, Hev Abi",227
"Low G",227
"RPT Orijinn, Ronboogz",227
"Tuna, Jasmin Moallem",227
"Zara Larsson, David Guetta",227
"Bolaget, Victor Leksell",226
"Jey One",226
"QLER",226
"Andrei G, Ministerul Manelelor",225
"Ektor",225
"Jere Klein, Nicki Nicole",225
"Patrick Brasca, 李浩瑋 Howard Lee",225
"Marama, MYA, Robleis",224
"Motive",224
"RPT MCK",224
"Raghav, Tanishk Bagchi, Asees Kaur",224
"Calvin Harris, Sam Smith",223
"Jey One, Donaty",223
"NTG, Amenazzy",223
"FiNCH, Tream",222
"JEYSON, SMILE BEATS",222
"MC Kevin o Chris, Dj Nk Da Serra, Mc Magrinho",222
"Bnxn, Kizz Daniel, Seyi Vibez",221
"Mumle",221
"OKS",221
"Tiakola",221
"Wang, Mateos Nps",221
"ELENA ROSE, Danny Ocean, Jerry Di",220
